0 A B C D E F G H I J K L I

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.3189 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.341 15.8 0 0 0 0 0
0 0 0 14.3189 0 0 0 0 0 0 0 0 0 15.48
0 0 0 9.2 0 0 0 0 0 16.1 0 0 0 0
0 0 0 0 4.341 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.1283 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.1339 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.1283 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.1339 0 0 0 0
0 0 0 0 0 15.48 0 0 0 0 0 0 0 0
