0 A B C D E F G H I J K L Q

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 16.0694 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 16.0694 0 0 0 0 0 4.6192 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.3071 0 0 0
0 0 0 0 4.6192 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 16.5642
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.935 0
0 0 0 0 0 0 7.3071 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.935 0 0 0 0
0 0 0 0 0 0 0 0 16.5642 0 0 0 0 0
