0 A B C D E F G H I J K L U

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2715 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2715 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8951 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.8951 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.1448 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5934 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.1448 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5934 0 0 0 10.0634
0 0 0 0 0 0 0 0 0 0 0 0 10.0634 0
