0 A B C D E F G H I J K L N

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 21.4 15.7 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 10.0969 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.91 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 10.0969 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.91 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.2783 16.1036
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.2783 0 0 0 0
0 0 0 0 0 0 0 0 0 16.1036 0 0 0 0
