0 A B C D E F G H I J K L T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 19.6952 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 19.6952 0 0 0 13.4248 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 0 16.6081 0 0 0 0 0
0 0 0 13.4248 0 0 0 0 0 0 0 0 0 13.2516
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 16.6081 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 13.2516 0 0 0 0 0 0 0 0
