0 A B C D E F G H I J K L C

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 20.6577 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 20.6577 0 0 0 13.0612 9.9333 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.0612 0 0 0 0 0 0 0 0 0 0
0 0 0 9.9333 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 14.5657
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5109 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5109 0 0 0 0
0 0 0 0 0 0 0 0 14.5657 0 0 0 0 0
