0 A B C D E F G H I J K L C

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2951 21.3972 15.7 0 0 0 0 0 0 0 0 0
0 8.2951 0 0 0 0 0 0 0 0 0 0 0 0
0 21.3972 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.9981 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 14.9691
0 0 0 9.2 0 0 0 0 0 16.2114 7.4 0 0 0
0 0 0 0 4.9981 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.2114 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 14.9691 0 0 0 0 0 0 0 0
