0 A B C D E F G H I J K L M

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.8294 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.8294 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.5929 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.4091 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 7.0296
0 0 0 0 0 0 0 0 6.5929 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.4091 0 0 0 0
0 0 0 0 0 0 0 0 0 0 7.0296 0 0 0
