0 A B C D E F G H I J K L V

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.4254 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.4254 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.1465 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.6844 15.8 0 0 0 0 0
0 0 0 14.1465 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.6844 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 12.5883
0 0 0 0 0 0 0 0 0 0 0 0 12.5883 0
