0 A B C D E F G H I J K L X

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 21.4 15.7 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.857 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.5324 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.857 0 0 0 0 0 16.1 7.4 0 0 18.542
0 0 0 0 4.5324 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.9294 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.1844 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.9294 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.1844 0 0 0 0
0 0 0 0 0 0 18.542 0 0 0 0 0 0 0
