0 A B C D E F G H I J K L T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 21.4 15.7 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 0 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.1444 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.2821 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.1803 0
0 0 0 0 0 0 7.1444 0 0 0 0 0 0 7.0145
0 0 0 0 0 0 0 0 6.2821 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.1803 0 0 0 0
0 0 0 0 0 0 0 0 0 0 7.0145 0 0 0
