0 A B C D E F G H I J K L W

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 21.7154 15.7 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 21.7154 0 0 0 14.688 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 14.688 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 3.9417
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.023 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.023 0 0 0 0
0 0 0 0 0 0 0 3.9417 0 0 0 0 0 0
