0 A B C D E F G H I J K L X

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.3504 22.3752 16.9362 0 0 0 0 0 0 0 0 0
0 8.3504 0 0 0 0 0 0 0 0 0 0 0 0
0 22.3752 0 0 0 15.1549 9.2 0 0 0 0 0 0 0
0 16.9362 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 15.1549 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 4.8241
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 0 0 4.8241 0 0 0 0 0 0
