0 A B C D E F G H I J K L B

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.7856 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 5.0425 15.8 0 0 0 0 0
0 0 0 14.7856 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 6.7725 0 0 0
0 0 0 0 5.0425 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.6437 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 6.7725 0 0 0 0 0 0 7.5964
0 0 0 0 0 0 0 0 6.6437 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 0 0 0 0 0 7.5964 0 0 0
