0 A B C D E F G H I J K L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.8197 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.8197 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.5565 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.5689 15.8 0 0 0 0 0
0 0 0 13.5565 0 0 0 0 0 0 0 0 0 16.259
0 0 0 9.2 0 0 0 0 0 16.1 7.8941 0 0 0
0 0 0 0 4.5689 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.8941 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 16.259 0 0 0 0 0 0 0 0
