0 A B C D E F G H I J K L U

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 8.8753
0 21.4 0 0 0 12.7522 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.9471 15.8 0 0 0 0 0
0 0 0 12.7522 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.9471 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 8.8753 0 0 0 0 0 0 0 0 0 0 0
