0 A B C D E F G H I J K L W

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 21.4 15.7 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7772 15.6185 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 17.3742 6.9894 0 0 0
0 0 0 0 4.7772 0 0 0 0 0 0 0 0 0
0 0 0 0 15.6185 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 17.3742 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 6.9894 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 8.4273
0 0 0 0 0 0 0 0 0 0 0 0 8.4273 0
