0 A B C D E F G H I J K L E

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.352 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.352 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 15.0536 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7977 15.8 0 0 0 0 0
0 0 0 15.0536 0 0 0 0 0 0 0 0 0 16.4348
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7977 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.6523 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.6523 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 16.4348 0 0 0 0 0 0 0 0
