0 A B C D E F G H I J K L M

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 5.1011 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 5.1011 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.1063 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.1063 0 0 0 10.821 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.821 0 0 0 11.5982
0 0 0 0 0 0 0 0 0 0 0 0 11.5982 0
