0 A B C D E F G H I J K L M

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.3033 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.3033 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 15.0965 7.984 0 0 12.9683
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.6028 0 0
0 0 0 0 0 0 15.0965 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.984 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.6028 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 0 12.9683 0 0 0 0 0 0 0
