0 A B C D E F G H I J K L H

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 96.7596 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 96.7596 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 58.2547 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 62.999 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 78.2167 0
0 0 0 0 0 0 58.2547 0 0 0 0 0 0 61.3773
0 0 0 0 0 0 0 0 62.999 0 0 0 0 0
0 0 0 0 0 0 0 0 0 78.2167 0 0 0 0
0 0 0 0 0 0 0 0 0 0 61.3773 0 0 0
