0 A B C D E F G H I J K L R

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 70.2131 124.1 105.8 0 0 0 0 0 0 0 0 0
0 70.2131 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 95.974 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.861 107.2 0 0 0 0 0
0 0 0 95.974 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.861 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 62.1712 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 62.1712 0 0 0 0 51.0401
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 51.0401 0 0
