0 A B C D E F G H I J K L K

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 99.5628 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 45.0485 107.2 0 0 0 0 0
0 0 0 99.5628 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 45.0485 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 58.115 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 79.8926 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 58.115 0 0 0 0 55.6019
0 0 0 0 0 0 0 0 0 79.8926 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 55.6019 0 0
