0 A B C D E F G H I J K L T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 70.8647 124.1 105.8 0 0 0 0 0 0 0 0 0
0 70.8647 0 0 0 0 0 0 0 0 0 0 0 76.3065
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 46.4689 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 51.7518 0 0 0
0 0 0 0 46.4689 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 60.1757 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 51.7518 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 60.1757 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 76.3065 0 0 0 0 0 0 0 0 0 0 0
