0 A B C D E F G H I J K L R

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 65.8139 124.1 105.8 0 0 0 0 0 0 0 0 0
0 65.8139 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 101.6797 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 45.0118 107.2 0 0 0 0 89.6681
0 0 0 101.6797 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 45.0118 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 89.6681 0 0 0 0 0 0 0 0 0
