0 A B C D E F G H I J K L E

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 76.112 124.1 105.8 0 0 0 0 0 0 0 0 0
0 76.112 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 86.4389 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 52.2847 107.2 0 0 0 0 0
0 0 0 86.4389 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 54.8945 0 0 0
0 0 0 0 52.2847 0 0 0 0 0 0 0 0 42.7387
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 84.1 0
0 0 0 0 0 0 54.8945 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 84.1 0 0 0 0
0 0 0 0 0 0 0 42.7387 0 0 0 0 0 0
