0 A B C D E F G H I J K L B

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 46.8579 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 58.8453 0 0 0
0 0 0 0 46.8579 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 76.0455 0
0 0 0 0 0 0 58.8453 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 58.2958
0 0 0 0 0 0 0 0 0 76.0455 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 58.2958 0 0
