0 A B C D E F G H I J K L B

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 70.1399 124.1 105.8 0 0 0 0 0 0 0 0 0
0 70.1399 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 89.0672 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 89.0672 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 129.6299
0 0 0 0 47.6 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 59.3 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 79.3016 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 59.3 0 0 0 0 0
0 0 0 0 0 0 0 0 0 79.3016 0 0 0 0
0 0 0 0 0 0 129.6299 0 0 0 0 0 0 0
