0 A B C D E F G H I J K L T

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.6 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 47.6 0 0 0 0 0 0 0 0 45.6931
0 0 0 0 107.2 0 0 0 0 98.4 0 62.8618 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 87.0453 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 62.8618 0 0 0 0 0
0 0 0 0 0 0 0 0 0 87.0453 0 0 0 0
0 0 0 0 0 0 0 45.6931 0 0 0 0 0 0
