0 A B C D E F G H I J K L P

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 78.015
0 124.1 0 0 0 94.7 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 47.9754 107.2 0 0 0 0 0
0 0 0 94.7 0 0 0 0 0 0 0 0 0 0
0 0 0 81.4 0 0 0 0 0 109.5 55.5013 0 0 0
0 0 0 0 47.9754 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 61.4983 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 83.3449 0
0 0 0 0 0 0 55.5013 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 61.4983 0 0 0 0 0
0 0 0 0 0 0 0 0 0 83.3449 0 0 0 0
0 0 78.015 0 0 0 0 0 0 0 0 0 0 0
