0 A B C D E F G H I J K L E

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 71.3 124.1 105.8 0 0 0 0 0 0 0 0 0
0 71.3 0 0 0 0 0 0 0 0 0 0 0 0
0 124.1 0 0 0 89.9102 81.4 0 0 0 0 0 0 0
0 105.8 0 0 0 0 0 45.8877 107.2 0 0 0 0 0
0 0 0 89.9102 0 0 0 0 0 0 0 0 0 103.3829
0 0 0 81.4 0 0 0 0 0 109.5 57.3 0 0 0
0 0 0 0 45.8877 0 0 0 0 0 0 0 0 0
0 0 0 0 107.2 0 0 0 0 98.4 0 61.0416 0 0
0 0 0 0 0 0 109.5 0 98.4 0 0 0 82.09 0
0 0 0 0 0 0 57.3 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 61.0416 0 0 0 0 0
0 0 0 0 0 0 0 0 0 82.09 0 0 0 0
0 0 0 0 0 103.3829 0 0 0 0 0 0 0 0
