0 A B C D E F G H I J K L M

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.6895 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.6895 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8318 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.2694 15.8 0 0 0 0 0
0 0 0 13.8318 0 0 0 0 0 0 0 0 0 12.296
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.2694 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 0 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 12.296 0 0 0 0 0 0 0 0
