0 A B C D E F G H I J K L K

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.88 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 5.1129 15.8 0 0 0 0 0
0 0 0 13.88 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 5.1129 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.0835 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 8.5726
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.0835 0 0 0 0
0 0 0 0 0 0 0 0 0 0 8.5726 0 0 0
