0 A B C D E F G H I J K L N

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.6575 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.6575 0 0 0 0 0 0 0 0 0 0 0 6.7695
0 21.4 0 0 0 0 8.3106 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.771 15.8 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 8.3106 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.771 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 9.4684 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 9.4684 0 0 0 0
0 0 6.7695 0 0 0 0 0 0 0 0 0 0 0
