0 A B C D E F G H I J K L E

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.7217 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.7217 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.5158 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.5158 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.3573 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.83 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 7.9785
0 0 0 0 0 0 0 0 6.3573 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.83 0 0 0 0
0 0 0 0 0 0 0 0 0 0 7.9785 0 0 0
