0 A B C D E F G H I J K L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 5.104 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 6.9757 0 0 0
0 0 0 0 5.104 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.3343 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.3341 0
0 0 0 0 0 0 6.9757 0 0 0 0 0 0 6.4357
0 0 0 0 0 0 0 0 6.3343 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.3341 0 0 0 0
0 0 0 0 0 0 0 0 0 0 6.4357 0 0 0
