0 A B C D E F G H I J K L D

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 6.8673
0 21.4 0 0 0 13.1787 9.3101 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.1787 0 0 0 0 0 0 0 0 0 0
0 0 0 9.3101 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 8.6245 0 6.8633 0 0
0 0 0 0 0 0 16.1 0 8.6245 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.8633 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 6.8673 0 0 0 0 0 0 0 0 0 0 0
