0 A B C D E F G H I J K L V

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 15.1629 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 0 15.8 0 0 0 0 0
0 0 0 15.1629 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 6.9289 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.2894 0
0 0 0 0 0 0 6.9289 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.2894 0 0 0 12.146
0 0 0 0 0 0 0 0 0 0 0 0 12.146 0
