0 A B C D E F G H I J K L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.5291 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.5291 0 0 0 0 0 0 0 0 0 0 0 10.1578
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 0 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4442 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.3466 0
0 0 0 0 0 0 7.4442 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.3466 0 0 0 0
0 0 10.1578 0 0 0 0 0 0 0 0 0 0 0
