(10, 1, 10.296)
(10, 2, 8.246)
(10, 3, 9.434)
(10, 5, 9.22)
(10, 6, 10.0)
(10, 8, 1.0)
(10, 9, 5.099)
(1, 2, 3.162)
(1, 3, 1.0)
(1, 4, 5.831)
(1, 5, 3.606)
(1, 6, 4.243)
(1, 7, 6.0)
(1, 8, 9.434)
(1, 9, 8.0)
(2, 3, 3.0)
(2, 4, 2.828)
(2, 5, 5.385)
(2, 6, 6.325)
(2, 7, 5.831)
(2, 8, 7.28)
(2, 9, 7.616)
(3, 5, 2.828)
(3, 6, 3.606)
(3, 7, 5.0)
(3, 8, 8.602)
(3, 9, 7.0)
(5, 4, 7.0)
(5, 7, 3.606)
(5, 8, 8.602)
(5, 9, 5.385)
(6, 4, 8.0)
(6, 7, 4.243)
(6, 8, 9.434)
(6, 9, 5.831)
(8, 4, 5.0)
(8, 7, 5.385)
(8, 9, 5.0)
(9, 4, 7.071)
(9, 7, 2.0)
(4, 7, 5.831)
