(10, 1, 6.03)
(10, 3, 5.385)
(10, 4, 5.831)
(10, 5, 5.0)
(10, 6, 4.123)
(10, 7, 5.831)
(10, 8, 3.162)
(10, 9, 1.414)
(1, 2, 5.099)
(1, 3, 2.236)
(1, 4, 3.162)
(1, 5, 3.606)
(1, 6, 2.236)
(1, 7, 5.831)
(1, 8, 5.831)
(3, 4, 1.0)
(3, 5, 5.099)
(3, 6, 1.414)
(3, 7, 7.28)
(4, 2, 8.0)
(4, 5, 6.083)
(4, 6, 2.236)
(4, 7, 8.246)
(4, 8, 7.211)
(4, 9, 5.657)
(5, 2, 2.236)
(5, 6, 4.0)
(5, 7, 2.236)
(5, 8, 3.0)
(5, 9, 3.606)
(6, 7, 6.083)
(6, 8, 5.0)
(6, 9, 3.606)
(7, 2, 2.0)
(7, 8, 2.828)
(8, 2, 4.472)
(8, 9, 2.0)
(9, 2, 5.657)
