(10, 3, 9.434)
(10, 4, 9.22)
(10, 5, 4.472)
(10, 6, 6.708)
(10, 8, 2.236)
(10, 9, 1.414)
(3, 1, 3.162)
(3, 2, 5.099)
(3, 4, 1.414)
(3, 5, 8.062)
(3, 7, 6.083)
(3, 9, 8.062)
(4, 1, 4.472)
(4, 5, 8.544)
(4, 6, 4.0)
(4, 7, 5.0)
(4, 8, 7.211)
(4, 9, 7.81)
(5, 1, 6.403)
(5, 2, 5.385)
(5, 6, 8.062)
(5, 7, 8.246)
(5, 8, 5.0)
(5, 9, 4.243)
(6, 1, 7.211)
(6, 2, 8.485)
(6, 7, 1.0)
(6, 8, 4.472)
(6, 9, 5.385)
(8, 1, 8.0)
(8, 2, 8.246)
(8, 7, 4.123)
(8, 9, 1.0)
(9, 2, 8.062)
(9, 7, 5.099)
(1, 2, 2.0)
(1, 7, 8.062)
(2, 7, 9.22)
