(6, 1, 2.236)
(6, 3, 1.414)
(6, 4, 2.236)
(6, 5, 4.0)
(6, 7, 6.083)
(6, 8, 5.0)
(6, 9, 3.606)
(6, 10, 4.123)
(1, 2, 5.099)
(1, 3, 2.236)
(1, 4, 3.162)
(1, 5, 3.606)
(1, 7, 5.831)
(1, 8, 5.831)
(1, 10, 6.03)
(3, 4, 1.0)
(3, 5, 5.099)
(3, 7, 7.28)
(3, 10, 5.385)
(4, 2, 8.0)
(4, 5, 6.083)
(4, 7, 8.246)
(4, 8, 7.211)
(4, 9, 5.657)
(4, 10, 5.831)
(5, 2, 2.236)
(5, 7, 2.236)
(5, 8, 3.0)
(5, 9, 3.606)
(5, 10, 5.0)
(7, 2, 2.0)
(7, 8, 2.828)
(7, 10, 5.831)
(8, 2, 4.472)
(8, 9, 2.0)
(8, 10, 3.162)
(9, 2, 5.657)
(9, 10, 1.414)
