(10, 1, 9.849)
(10, 3, 7.0)
(10, 4, 10.0)
(10, 6, 8.944)
(10, 7, 9.055)
(10, 8, 8.0)
(10, 9, 5.0)
(1, 2, 2.0)
(1, 3, 4.472)
(1, 4, 5.0)
(1, 6, 6.403)
(1, 7, 9.434)
(1, 8, 9.849)
(3, 2, 2.828)
(3, 4, 8.062)
(3, 5, 8.246)
(3, 6, 8.544)
(3, 7, 10.817)
(3, 8, 10.63)
(3, 9, 8.602)
(4, 5, 1.0)
(4, 6, 2.0)
(4, 7, 5.099)
(4, 8, 6.0)
(4, 9, 6.708)
(6, 2, 7.81)
(6, 5, 1.0)
(6, 7, 3.162)
(6, 8, 4.0)
(6, 9, 5.0)
(7, 2, 10.63)
(7, 5, 4.123)
(7, 8, 1.414)
(7, 9, 4.123)
(8, 2, 10.817)
(8, 5, 5.0)
(8, 9, 3.0)
(9, 2, 9.487)
(9, 5, 5.831)
(2, 5, 7.211)
