(8, 1, 7.81)
(8, 2, 7.071)
(8, 4, 7.211)
(8, 5, 4.123)
(8, 6, 1.414)
(8, 7, 2.236)
(8, 9, 3.606)
(8, 10, 5.657)
(1, 2, 1.0)
(1, 3, 8.0)
(1, 4, 1.0)
(1, 6, 8.062)
(1, 7, 8.944)
(1, 9, 8.944)
(1, 10, 9.22)
(2, 3, 7.0)
(2, 4, 1.414)
(2, 5, 4.123)
(2, 6, 7.211)
(2, 7, 8.062)
(2, 9, 8.544)
(2, 10, 9.055)
(4, 5, 5.0)
(4, 7, 8.544)
(4, 9, 8.062)
(4, 10, 8.246)
(5, 3, 3.162)
(5, 7, 4.243)
(5, 9, 7.071)
(5, 10, 8.544)
(6, 3, 4.123)
(6, 7, 1.0)
(6, 9, 5.0)
(7, 3, 4.0)
(7, 9, 5.657)
(7, 10, 7.81)
(9, 3, 8.944)
(9, 10, 2.236)
(10, 3, 10.817)
