(4, 1, 1.0)
(4, 2, 1.414)
(4, 5, 5.0)
(4, 7, 8.544)
(4, 8, 7.211)
(4, 9, 8.062)
(4, 10, 8.246)
(1, 2, 1.0)
(1, 3, 8.0)
(1, 6, 8.062)
(1, 7, 8.944)
(1, 8, 7.81)
(1, 9, 8.944)
(1, 10, 9.22)
(2, 3, 7.0)
(2, 5, 4.123)
(2, 6, 7.211)
(2, 7, 8.062)
(2, 8, 7.071)
(2, 9, 8.544)
(2, 10, 9.055)
(5, 3, 3.162)
(5, 7, 4.243)
(5, 8, 4.123)
(5, 9, 7.071)
(5, 10, 8.544)
(7, 3, 4.0)
(7, 6, 1.0)
(7, 8, 2.236)
(7, 9, 5.657)
(7, 10, 7.81)
(8, 6, 1.414)
(8, 9, 3.606)
(8, 10, 5.657)
(9, 3, 8.944)
(9, 6, 5.0)
(9, 10, 2.236)
(10, 3, 10.817)
(3, 6, 4.123)
