(6, 1, 6.403)
(6, 2, 7.81)
(6, 3, 8.544)
(6, 4, 2.0)
(6, 5, 1.0)
(6, 7, 3.162)
(6, 8, 4.0)
(6, 9, 5.0)
(6, 10, 8.944)
(1, 2, 2.0)
(1, 3, 4.472)
(1, 4, 5.0)
(1, 7, 9.434)
(1, 8, 9.849)
(1, 10, 9.849)
(2, 3, 2.828)
(2, 5, 7.211)
(2, 7, 10.63)
(2, 8, 10.817)
(2, 9, 9.487)
(3, 4, 8.062)
(3, 5, 8.246)
(3, 7, 10.817)
(3, 8, 10.63)
(3, 9, 8.602)
(3, 10, 7.0)
(4, 5, 1.0)
(4, 7, 5.099)
(4, 8, 6.0)
(4, 9, 6.708)
(4, 10, 10.0)
(5, 7, 4.123)
(5, 8, 5.0)
(5, 9, 5.831)
(7, 8, 1.414)
(7, 9, 4.123)
(7, 10, 9.055)
(8, 9, 3.0)
(8, 10, 8.0)
(9, 10, 5.0)
