(5, 2, 4.123)
(5, 3, 3.162)
(5, 4, 5.0)
(5, 7, 4.243)
(5, 8, 4.123)
(5, 9, 7.071)
(5, 10, 8.544)
(2, 1, 1.0)
(2, 3, 7.0)
(2, 4, 1.414)
(2, 6, 7.211)
(2, 7, 8.062)
(2, 8, 7.071)
(2, 9, 8.544)
(2, 10, 9.055)
(3, 1, 8.0)
(3, 6, 4.123)
(3, 7, 4.0)
(3, 9, 8.944)
(3, 10, 10.817)
(4, 1, 1.0)
(4, 7, 8.544)
(4, 8, 7.211)
(4, 9, 8.062)
(4, 10, 8.246)
(7, 1, 8.944)
(7, 6, 1.0)
(7, 8, 2.236)
(7, 9, 5.657)
(7, 10, 7.81)
(8, 1, 7.81)
(8, 6, 1.414)
(8, 9, 3.606)
(8, 10, 5.657)
(9, 1, 8.944)
(9, 6, 5.0)
(9, 10, 2.236)
(10, 1, 9.22)
(1, 6, 8.062)
