(8, 1, 9.849)
(8, 2, 10.817)
(8, 3, 10.63)
(8, 4, 6.0)
(8, 5, 5.0)
(8, 6, 4.0)
(8, 7, 1.414)
(8, 9, 3.0)
(8, 10, 8.0)
(1, 2, 2.0)
(1, 3, 4.472)
(1, 4, 5.0)
(1, 6, 6.403)
(1, 7, 9.434)
(1, 10, 9.849)
(2, 3, 2.828)
(2, 5, 7.211)
(2, 6, 7.81)
(2, 7, 10.63)
(2, 9, 9.487)
(3, 4, 8.062)
(3, 5, 8.246)
(3, 6, 8.544)
(3, 7, 10.817)
(3, 9, 8.602)
(3, 10, 7.0)
(4, 5, 1.0)
(4, 6, 2.0)
(4, 7, 5.099)
(4, 9, 6.708)
(4, 10, 10.0)
(5, 6, 1.0)
(5, 7, 4.123)
(5, 9, 5.831)
(6, 7, 3.162)
(6, 9, 5.0)
(6, 10, 8.944)
(7, 9, 4.123)
(7, 10, 9.055)
(9, 10, 5.0)
