['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'O', 2.0]
['C', 'N', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.0]
['C', 'N', 1.0]
['C', 'C', 1.5]
['N', 'C', 1.0]
['C', 'O', 2.0]
['C', 'N', 1.0]
['N', 'S', 1.0]
['N', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['N', 'C', 1.0]
['S', 'O', 2.0]
['S', 'O', 2.0]
['S', 'C', 1.0]
['C', 'O', 1.0]
['C', 'C', 1.0]
['C', 'O', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['O', 'C', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'O', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['O', 'C', 1.0]
['C', 'O', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'C', 1.5]
['O', 'C', 1.0]
['C', 'F', 1.0]
['C', 'C', 1.5]
['C', 'C', 1.5]
['C', 'F', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
['C', 'C', 1.0]
