0 A B C D E F G H I J K L I

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 15.0454 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 5.0143 15.8 0 0 0 0 0
0 0 0 15.0454 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.1779 0 0 0
0 0 0 0 5.0143 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.3541 0
0 0 0 0 0 0 7.1779 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.3541 0 0 0 8.4565
0 0 0 0 0 0 0 0 0 0 0 0 8.4565 0
