0 A B C D E F G H I J K L J

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.4867 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.4867 0 0 0 0 0 0 0 0 0 0 0 8.3195
0 21.4 0 0 0 13.9076 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.9076 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.6891 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 9.747 0
0 0 0 0 0 0 7.6891 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 9.747 0 0 0 0
0 0 8.3195 0 0 0 0 0 0 0 0 0 0 0
