0 A B C D E F G H I J K L J

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.642 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.642 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.746 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.526 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.4417 0
0 0 0 0 0 0 7.746 0 0 0 0 0 0 8.8136
0 0 0 0 0 0 0 0 6.526 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.4417 0 0 0 0
0 0 0 0 0 0 0 0 0 0 8.8136 0 0 0
