0 A B C D E F G H I J K L P

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.4255 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.4255 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 12.9162 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 12.9162 0 0 0 0 0 0 0 0 0 13.481
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.3749 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.3749 0 0 0 0
0 0 0 0 0 13.481 0 0 0 0 0 0 0 0
