0 A B C D E F G H I J K L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 8.6749
0 21.4 0 0 0 14.7401 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 14.7401 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.5298 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 7.0118 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.0642 0
0 0 0 0 0 0 7.5298 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 7.0118 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.0642 0 0 0 0
0 0 8.6749 0 0 0 0 0 0 0 0 0 0 0
