0 A B C D E F G H I J K L N

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.6302 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.6302 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 12.7634 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.2361 15.8 0 0 0 0 0
0 0 0 12.7634 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.2361 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.2739 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.2739 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 11.7215
0 0 0 0 0 0 0 0 0 0 0 0 11.7215 0
