0 A B C D E F G H I J K L S

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.5676 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 14.5676 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.542 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 11.408 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 6.2252
0 0 0 0 0 0 0 0 6.542 0 0 0 0 0
0 0 0 0 0 0 0 0 0 11.408 0 0 0 0
0 0 0 0 0 0 0 0 0 0 6.2252 0 0 0
