0 A B C D E F G H I J K L F

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.791 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.791 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.5991 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.5991 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.5141 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 5.0866
0 0 0 0 15.8 0 0 0 0 9.2 0 6.8993 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.5141 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.8993 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 0 0 5.0866 0 0 0 0 0 0
