0 A B C D E F G H I J K L L

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.9943 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.9943 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 14.7782 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 14.7782 0 0 0 0 0 0 0 0 0 12.6793
0 0 0 9.2 0 0 0 0 0 16.1 7.5716 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.5716 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 0
0 0 0 0 0 12.6793 0 0 0 0 0 0 0 0
