0 A B C D E F G H I J K L R

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.8085 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.8085 0 0 0 0 0 0 0 0 0 0 0 7.2158
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 5.0515 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.8726 0 0 0
0 0 0 0 5.0515 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 9.659 0
0 0 0 0 0 0 7.8726 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 9.659 0 0 0 0
0 0 7.2158 0 0 0 0 0 0 0 0 0 0 0
