0 A B C D E F G H I J K L F

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 4.4524
0 0 0 0 15.8 0 0 0 0 9.2 0 5.9664 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.3416 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 5.9664 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.3416 0 0 0 0
0 0 0 0 0 0 0 4.4524 0 0 0 0 0 0
