0 A B C D E F G H I J K L E

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.5604 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.5604 0 0 0 0 0 0 0 0 0 0 0 9.4832
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7602 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.6077 0 0 0
0 0 0 0 4.7602 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.4 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.3841 0
0 0 0 0 0 0 7.6077 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.4 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.3841 0 0 0 0
0 0 9.4832 0 0 0 0 0 0 0 0 0 0 0
