0 A B C D E F G H I J K L K

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 7.7485 21.4 15.7 0 0 0 0 0 0 0 0 0
0 7.7485 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.8 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.7 15.8 0 0 0 0 0
0 0 0 13.8 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 8.0521 0 0 0
0 0 0 0 4.7 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.8283 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.9027 0
0 0 0 0 0 0 8.0521 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.8283 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.9027 0 0 0 11.5136
0 0 0 0 0 0 0 0 0 0 0 0 11.5136 0
