0 A B C D E F G H I J K L P

0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 8.2 21.4 15.7 0 0 0 0 0 0 0 0 0
0 8.2 0 0 0 0 0 0 0 0 0 0 0 0
0 21.4 0 0 0 13.2831 9.2 0 0 0 0 0 0 0
0 15.7 0 0 0 0 0 4.3582 15.8 0 0 0 0 0
0 0 0 13.2831 0 0 0 0 0 0 0 0 0 0
0 0 0 9.2 0 0 0 0 0 16.1 7.4 0 0 0
0 0 0 0 4.3582 0 0 0 0 0 0 0 0 0
0 0 0 0 15.8 0 0 0 0 9.2 0 6.7317 0 0
0 0 0 0 0 0 16.1 0 9.2 0 0 0 10.5 0
0 0 0 0 0 0 7.4 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 6.7317 0 0 0 0 0
0 0 0 0 0 0 0 0 0 10.5 0 0 0 9.9399
0 0 0 0 0 0 0 0 0 0 0 0 9.9399 0
